Event_Date,Event_Order,Event,Ticker,Reaction_10D_%,Volume_Change_%
2025-01-20,10,Trump Presidency,AM.PA,1.454898527782711,-18.949573062671178
2025-01-20,10,Trump Presidency,SAAB-B.ST,1.4161193084229584,-25.055834212557983
2025-01-20,10,Trump Presidency,BEL.NS,1.29046156031134,-12.008132015306373
2025-01-20,10,Trump Presidency,600372.SS,1.1576213503436295,-12.309928013748195
2025-01-20,10,Trump Presidency,012450.KS,1.137805207353404,18.5165318251695
2025-01-20,10,Trump Presidency,FCT.MI,0.7539072818773418,-34.185525288233656
2025-01-20,10,Trump Presidency,CHG.L,0.46874111600356816,-47.962769737625855
2025-01-20,10,Trump Presidency,HII,0.32285747494837924,1.2218537266538654
2025-01-20,10,Trump Presidency,GD,0.11162247643685674,40.743094453394036
2025-01-20,10,Trump Presidency,LHX,-0.28983388975228896,23.44753312200276
2025-01-20,10,Trump Presidency,600760.SS,-0.49807854815444585,-6.1753571962947955
2025-01-20,10,Trump Presidency,7012.T,-1.9705097487790146,37.88603505668766
2025-01-20,10,Trump Presidency,000768.SZ,-2.5287430110703113,-8.417693491383693
2025-01-20,10,Trump Presidency,600118.SS,-2.5808807837533476,-32.252044420829876
2025-01-20,10,Trump Presidency,HAL.NS,-3.104340227428881,11.46680804830893
2025-01-20,10,Trump Presidency,600893.SS,-3.6884247845826112,-23.112264846553966
2025-01-20,10,Trump Presidency,BAH,-4.595909469291504,73.72100063296365
2025-01-20,10,Trump Presidency,QQ.L,-4.903425318328914,-0.01817168329555363
2025-01-20,10,Trump Presidency,LMT,-5.321223943670638,55.36252468216303
2025-01-20,10,Trump Presidency,LDOS,-7.304758563790347,59.795910463945475
2025-01-20,10,Trump Presidency,CACI,-12.09702545630984,169.69134529456244
2025-03-04,11,ReArm Europe Plan,047810.KS,41.90318553920154,84.92618384738053
2025-03-04,11,ReArm Europe Plan,HAG.DE,31.938778476879182,11.632601567203938
2025-03-04,11,ReArm Europe Plan,IDR.MC,30.973447234647033,-0.8092485433104812
2025-03-04,11,ReArm Europe Plan,QQ.L,28.685629738752905,79.3764889448707
2025-03-04,11,ReArm Europe Plan,HO.PA,23.95034279778652,48.31518137709383
2025-03-04,11,ReArm Europe Plan,SAAB-B.ST,23.65747096479811,19.266400766019707
2025-03-04,11,ReArm Europe Plan,RHM.DE,21.116705268563997,-1.3566563029643874
2025-03-04,11,ReArm Europe Plan,LDO.MI,19.080010052328422,-18.174883076390092
2025-03-04,11,ReArm Europe Plan,AM.PA,18.405932142867076,25.47621218738452
2025-03-04,11,ReArm Europe Plan,ESLT,17.928052966510254,50.021231422505316
2025-03-04,11,ReArm Europe Plan,KTOS,15.730779608035682,30.151194008760783
2025-03-04,11,ReArm Europe Plan,BA.L,15.336749103909963,-27.10961743464575
2025-03-04,11,ReArm Europe Plan,KOG.OL,14.614258244772028,-10.751832539155014
2025-03-04,11,ReArm Europe Plan,7011.T,14.208190958666812,163.7949419438243
2025-03-04,11,ReArm Europe Plan,HII,11.997017159171076,-8.948493863889917
2025-03-04,11,ReArm Europe Plan,CACI,10.43760659016546,75.95395774203722
